"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Adolph Menzel","Wrocław",1815,"Berlin",1905,"male","Kingdom of Prussia","illustrator,painter,printmaker,lithographer","Adolph Menzel","Adolph Menzel","German,Polish","Realism","Biedermeier, Realism, Unknown","{Biedermeier:4},{Realism:45},{Unknown:1}","{Realism:27}, {Impressionism:5}","Realism:1845-1889,Impressionism:1846-1856","{Realism:27}",1845,1900,50,"Berlin, Germany, Kunsthalle, Hamburg, Munich","{Berlin:9},{Germany:10},{Kunsthalle:1},{Hamburg:2},{Munich:2}",,,"Max Klinger,",,,,"['Berlin']","[]","Adolph Menzel"
"Joyce Kozloff","Somerville",1942,,,"female","United States of America","artist,painter,printmaker","Joyce Kozloff","Joyce Kozloff","American","Feminist Art","Cartographic Art, Feminist Art, P&D (Pattern and Decoration)","{Cartographic Art:15},{Feminist Art:3},{P&D (Pattern and Decoration):38}","{Cartographic Art:17}, {Feminist Art:7}, {P&D (Pattern and Decoration):38}","Cartographic Art:1994-2006,Feminist Art:1986-2006,P&D (Pattern and Decoration):1970-2004","{Feminist Art,P&D (Pattern and Decoration):56}",1970,2006,56,,,,,,,,,"[]","[]","Joyce Kozloff"
"Roni Horn","New York City",1955,,,"female","United States of America","photographer,writer,artist,painter,sculptor,drawer","Roni Horn","Roni Horn",,"Minimalism","Cartographic Art, Conceptual Art, Minimalism, Unknown","{Cartographic Art:1},{Conceptual Art:15},{Minimalism:7},{Unknown:1}",,,,1990,1993,24,,,,,,,,,"[]","[]","Roni Horn"
"Paul Gauguin","Paris",1848,"Atuona",1903,"male","France","illustrator,painter,sculptor,graphic artist,visual artist,ceramicist,printmaker,drawer","Paul Gauguin","Paul Gauguin","French","Symbolism","Cloisonnism, Impressionism, Japonism, Naïve Art (Primitivism), Post-Impressionism, Synthetism, Unknown","{Cloisonnism:97},{Impressionism:153},{Japonism:6},{Naïve Art (Primitivism):1},{Post-Impressionism:244},{Synthetism:3},{Unknown:12}","{Nineteenth-Century European PaintingImpressionism and Post-Impressionism:1}, {Post-Impressionism:245}, {Cloisonnism:102}, {Japonism:6}, {Synthetism:3}, {Impressionism:153}","Post-Impressionism:1887-1897,Cloisonnism:1887-1895,Impressionism:1884-1884","{Post-Impressionism:1},{Symbolism:1},{Primitivism:1},{Modern art:2},{Symbolism,Post-Impressionism:506}",1875,1921,516,"Manchester, Northampton, Canada, MO, Thielska, Winterthur, Chicago, Washington DC, Finland, Pittsburgh, NJ, Glasgow, MA, Austria, Boston, San Antonio, Pasadena, Argentina, Groningen, VA, Munich, Japan, NY, MD, IN, Lyon, UK, Newark, Switzerland, Indianapolis, Grenoble, Otterlo, Baltimore, Brussels, Albertina, Helsinki, Stockholm, Buffalo, ME, Basel, Zürich, Saint Petersburg, New Haven, Orleans, Stuttgart, France, Egypt, OH, Amsterdam, Hiroshima, Galleria, Moscow, Gothenburg, US, Germany, Netherlands, Cleveland, Israel, Budapest, Edinburgh, Tahiti, Jerusalem, Italy, Paris, Philadelphia, Hungary, Vienna, Cologne, Berlin, Moderna, Russia, Galleriet, New York City, Hartford, London, CA, Rotterdam, Norway, Dallas, Spain, Richmond, St. Louis, Cairo, Williamstown, Ottawa, IL, Cambridge, Essen, Milan, Tokyo, Los Angeles, Dresden, Portland, Norfolk, Denmark, Nationalmuseum, Belgium, Sweden, Oslo, Los Angeles County Museum of Art, Madrid, Fort Worth, PA","{France:44},{Paris:30},{Tahiti:3},{New York City:16},{NY:18},{US:67},{PA:5},{Saint Petersburg:17},{Russia:31},{Denmark:16},{Thielska:1},{Galleriet:1},{Stockholm:3},{Sweden:5},{London:5},{UK:12},{Grenoble:3},{Madrid:6},{Spain:6},{Moscow:14},{Stuttgart:4},{Germany:12},{Amsterdam:9},{Netherlands:14},{Boston:6},{MA:12},{Chicago:8},{IL:8},{Essen:4},{Pittsburgh:1},{Switzerland:10},{Zürich:5},{Edinburgh:3},{Pasadena:1},{CA:4},{Lyon:1},{Munich:3},{Cambridge:5},{Williamstown:1},{Baltimore:2},{MD:2},{Helsinki:1},{Finland:1},{San Antonio:2},{Los Angeles:3},{Argentina:2},{New Haven:1},{Basel:3},{Dresden:1},{Buffalo:2},{Philadelphia:2},{Japan:6},{Dallas:2},{Norfolk:1},{VA:2},{Berlin:1},{Belgium:4},{Brussels:2},{Otterlo:2},{Jerusalem:2},{Israel:2},{Hartford:1},{Oslo:3},{Norway:3},{Los Angeles County Museum of Art:2},{Washington DC:1},{Cleveland:1},{OH:1},{Manchester:1},{Albertina:1},{Vienna:1},{Austria:1},{Nationalmuseum:2},{Cologne:1},{Orleans:2},{Tokyo:4},{St. Louis:1},{MO:1},{Indianapolis:2},{IN:2},{Ottawa:2},{Canada:2},{Gothenburg:2},{Newark:1},{NJ:1},{Glasgow:2},{Hiroshima:1},{Fort Worth:1},{Cairo:1},{Egypt:1},{Rotterdam:2},{Portland:1},{ME:1},{Galleria:1},{Moderna:1},{Milan:1},{Italy:1},{Winterthur:1},{Budapest:2},{Hungary:2},{Groningen:1},{Northampton:1},{Richmond:1}","Pont-Aven School","Edgar Degas,Camille Pissarro,Giotto,Raphael,Jean Auguste Dominique Ingres,Eugene Delacroix,Edouard Manet,Paul Cezanne,Alfred Sisley,","Edvard Munch,Marc Chagall,Pablo Picasso,Robert Delaunay,Constantin Brancusi,Aristide Maillol,Vincent van Gogh,Arts and Crafts ,Mikhail Larionov,Victor Palmov,Emily Carr,",,"Camille Pissarro,Académie Colarossi, Paris, France,","Paul Cezanne,Vincent van Gogh,Stanisław Wyspiański,Early works,","['Martinique', 'Australia', 'Copenhagen', 'Tahiti', 'Marquesas Islands', 'Paris', 'Pont-Aven', 'Céret', 'Panama', 'Arles', 'French Polynesia']","['Tahiti:1891-1901', 'Martinique:1887-1887', 'Paris:1870-1891', 'Pont-Aven:1886-1891', 'Arles:1888-1888']","Paul Gauguin"
"Vincent van Gogh","Zundert",1853,"Auvers-sur-Oise",1890,"male","Kingdom of the Netherlands","painter,printmaker,drawer","Vincent Van Gogh","Vincent van Gogh",,"Post-Impressionism","Cloisonnism, Impressionism, Japonism, Neo-Impressionism, Pointillism, Post-Impressionism, Realism, Unknown","{Cloisonnism:11},{Impressionism:2},{Japonism:15},{Neo-Impressionism:83},{Pointillism:3},{Post-Impressionism:924},{Realism:887},{Unknown:6}","{Nineteenth-Century European PaintingImpressionism and Post-Impressionism:1}, {Post-Impressionism:2}",,"{Neo-impressionism:2},{Post-Impressionism:2}",1882,1890,1931,"Belgium, Antwerp, France, Paris, Nuenen, The Netherlands, Arles, Holland","{Arles:27},{France:78},{Antwerp:5},{Belgium:4},{Paris:25},{Nuenen:13},{The Netherlands:15},{Holland:1}",,,,,,,"['Saint-Rémy-de-Provence', 'The Hague', 'Ramsgate', 'City of Brussels', 'Etten-Leur', 'Dordrecht', 'Nuenen', 'Paris', 'Auvers-sur-Oise', 'Van Gogh House', 'Emmen', 'London', 'Amsterdam', 'Arles', 'Hoogeveen', 'Antwerp', 'Borinage', 'Tilburg', 'Maison Van Gogh']","['Saint-Rémy-de-Provence:1889-1890', 'The Hague:1881-1883,1869-1873', 'Ramsgate:1876-1876', 'City of Brussels:1880-1881', 'Etten-Leur:1881-1881,1876-1876', 'Dordrecht:1877-1877', 'Nuenen:1883-1885', 'Paris:1875-1876,1886-1888', 'Auvers-sur-Oise:1890-1890', 'Van Gogh House:1883-1883', 'London:1873-1875', 'Amsterdam:1877-1878,1891-1911', 'Arles:1888-1889', 'Hoogeveen:1883-1883', 'Antwerp:1885-1886', 'Borinage:1878-1879', 'Tilburg:1866-1868', 'Maison Van Gogh:1879-1880']","Vincent Van Gogh"
"Agnes Martin","Macklin",1912,"Taos",2004,"female","Canada","painter,printmaker,drawer","Agnes Martin","Agnes Martin","Canadian,American","Minimalism","Color Field Painting, Minimalism","{Color Field Painting:3},{Minimalism:54}","{Minimalism:54}, {Color Field Painting:3}","Minimalism:1957-2003,Color Field Painting:1959-1960","{Contemporary art:1},{Modern art:1},{Minimalism:57}",1957,2003,57,"NY, New York City, US","{New York City:11},{NY:11},{US:11}",,,,,,,"['New York City', 'New Mexico', 'Wallington']","[]","Agnes Martin"
"Anne Truitt","Baltimore",1921,"Washington, D.C.",2004,"female","United States of America","writer,artist,painter,sculptor,drawer","Anne Truitt","Anne Truitt","American","Post-Painterly Abstraction","Color Field Painting, Hard Edge Painting, Minimalism","{Color Field Painting:20},{Hard Edge Painting:3},{Minimalism:42}","{Minimalism:42}, {Color Field Painting:22}, {Hard Edge Painting:3}","Minimalism:1961-2004,Color Field Painting:1962-1999,Hard Edge Painting:1962-1965","{Minimalism:1},{Contemporary art:1},{Post-Painterly Abstraction,Minimalism:65}",1961,2004,65,,,"Washington Color School",,,,,,"[]","[]","Anne Truitt"
"Bridget Riley","London",1931,,,"female","United Kingdom","artist,painter,sculptor,muralist,designer,printmaker,architectural draftsperson,drawer","Bridget Riley","Bridget Riley","British","Op Art","Color Field Painting, Concretism, Hard Edge Painting, Op Art, Pointillism","{Color Field Painting:7},{Concretism:4},{Hard Edge Painting:8},{Op Art:28},{Pointillism:1}","{Concretism:4}, {Color Field Painting:8}, {Hard Edge Painting:8}, {Op Art:28}, {Pointillism:1}","Concretism:1966-1970,Color Field Painting:1971-2012,Hard Edge Painting:1989-2007,Op Art:1952-2005,Pointillism:1960-1960","{Op Art:48}",1952,2012,48,"London, United Kingdom","{London:1},{United Kingdom:1}",,,,,,,"['Cambridge', 'Rock', 'Oxford', 'Italy', 'London', 'Saint-Saturnin-lès-Apt']","[]","Bridget Riley"
"Claude Viallat","Nîmes",1936,,,"male","France","painter,printmaker","Claude Viallat","Claude Viallat","French","Contemporary","Color Field Painting","{Color Field Painting:21}","{Color Field Painting:21}","Color Field Painting:1994-2007","{Contemporary:21}",1994,2007,21,,,"Supports/Surfaces",,,,,,"[]","[]","Claude Viallat"
"Daniel Buren","Boulogne-Billancourt",1938,,,"male","France","artist,illustrator,painter,sculptor,visual artist,drawer,installation artist,video artist,conceptual artist","DANIEL BUREN","Daniel Buren","French","Conceptual Art","Color Field Painting, Minimalism","{Color Field Painting:1},{Minimalism:14}","{Minimalism:15}, {Conceptual Art:3}, {Color Field Painting:1}","Minimalism:1967-2012,Conceptual Art:1971-2010,Color Field Painting:1965-1965","{Conceptual Art,Minimalism:16}",1965,2016,15,,,"BMPT",,,,,,"[]","[]","Daniel Buren"
"Ellsworth Kelly","Newburgh",1923,"Spencertown",2015,"male","United States of America","artist,painter,sculptor,graphic artist,designer,printmaker,drawer","Ellsworth Kelly","Ellsworth Kelly","American","Post-Painterly Abstraction","Color Field Painting, Concretism, Hard Edge Painting, Minimalism, Pop Art, Surrealism, Unknown","{Color Field Painting:15},{Concretism:14},{Hard Edge Painting:68},{Minimalism:40},{Pop Art:5},{Surrealism:1},{Unknown:2}","{Hard Edge Painting:71}, {Minimalism:51}, {Color Field Painting:21}, {Pop Art:5}, {Surrealism:1}, {Concretism:15}","Hard Edge Painting:1950-2011,Minimalism:1951-2003,Color Field Painting:1952-1990,Pop Art:1959-1984,Surrealism:1979-1979,Concretism:1950-1951","{Post-Painterly Abstraction,Minimalism:145}",1950,2011,145,"San Diego, US, Chicago, MN, CA, IL, Austin, San Francisco, NY, Minneapolis, New York City","{San Francisco:2},{CA:3},{US:7},{San Diego:1},{Chicago:1},{IL:1},{Minneapolis:1},{MN:1},{Austin:1},{New York City:1},{NY:1}",,"Paul Cezanne,Paul Klee,Pablo Picasso,Constantin Brancusi,Jean Arp,","Richard Serra,Dan Flavin,Donald Judd,",,,"James Rosenquist,Roy Lichtenstein,","['Paris', 'New York City']","['Paris:1943-1954', 'New York City:1937-1943']","Ellsworth Kelly"
"Imi Knoebel","Dresden",1940,,,"male","Germany","photographer,painter,sculptor,video installation artist","Imi Knoebel","Imi Knoebel","German","Minimalism","Color Field Painting, Minimalism","{Color Field Painting:3},{Minimalism:12}","{Color Field Painting:5}, {Minimalism:12}","Color Field Painting:1977-2011,Minimalism:1968-2010","{Minimalism:15}",1968,2011,15,,,,,,,,,"['United States of America', 'Düsseldorf', 'Darmstadt']","['United States of America:1974-1974', 'Düsseldorf:1964-2009', 'Darmstadt:1962-1964']","Imi Knoebel"
"Ron Gorchov","Chicago",1930,,2020,"male","United States of America","painter","Ron Gorchov","Ron Gorchov","American","Post-Painterly Abstraction","Color Field Painting, Post-Painterly Abstraction","{Color Field Painting:13},{Post-Painterly Abstraction:3}","{Color Field Painting:13}, {Post-Painterly Abstraction:3}","Color Field Painting:1967-2012,Post-Painterly Abstraction:1982-1986","{Post-Painterly Abstraction:16}",1967,2012,16,,,,,,,,,"[]","[]","Ron Gorchov"
"Abbas Kiarostami","Tehran",1940,"14th arrondissement of Paris",2016,"male","Iran","screenwriter,photographer,actor,poet,cinematographer,graphic designer,illustrator,editing staff,photojournalist,painter,sculptor,film director,film producer,director,film editor,producer","Abbas Kiarostami","Abbas Kiarostami","Iranian","Contemporary","Conceptual Art, Photorealism, Unknown","{Conceptual Art:1},{Photorealism:1},{Unknown:42}","{Conceptual Art:1}, {Photorealism:1}","Photorealism:2006-2006","{Contemporary:44}",2006,2010,44,,,,,,,,,"[]","[]","Abbas Kiarostami"
"Adrian Piper","New York City",1948,,,"female","United States of America","photographer,artist,university teacher,visual artist,philosopher,installation artist,conceptual artist","Adrian Piper","Adrian Piper",,"Performance Art","Conceptual Art, Feminist Art, Op Art, Performance Art, Postcolonial art","{Conceptual Art:2},{Feminist Art:4},{Op Art:1},{Performance Art:2},{Postcolonial art:2}",,,,,,11,,,,,,,,,"['Milan']","[]","Adrian Piper"
"Ai Weiwei","Beijing",1957,,,"male","People's Republic of China","photographer,architect,artist,painter,sculptor,human rights activist,film director,visual artist,designer,social activist","Ai Weiwei","Ai Weiwei",,"Conceptual Art","Conceptual Art, Excessivism, Pop Art, Unknown","{Conceptual Art:17},{Excessivism:3},{Pop Art:1},{Unknown:3}",,,,2015,2015,24,,,,,,,,,"['New York City', 'Berlin', 'Cambridge', 'Beijing']","[]","Ai Weiwei"
"Alfredo Jaar","Santiago",1956,,,"male","Chile","photographer,architect,film director,visual artist,printmaker,installation artist","Alfredo Jaar","Alfredo Jaar",,"Conceptual Art","Conceptual Art, Neo-Minimalism, Post-Minimalism, Social Realism, Unknown","{Conceptual Art:5},{Neo-Minimalism:2},{Post-Minimalism:1},{Social Realism:1},{Unknown:1}",,,,2004,2014,10,,,,,,,,,"['New York City']","[]","Alfredo Jaar"
"Allan McCollum","Los Angeles",1944,,,"male","United States of America","photographer,painter,sculptor,drawer","Allan McCollum","Allan McCollum","American","Conceptual Art","Conceptual Art","{Conceptual Art:20}","{Conceptual Art:20}","Conceptual Art:1970-2006","{Conceptual art:1},{Contemporary art:1},{Conceptual Art:20}",1970,2006,20,"NY, New York City, US","{New York City:1},{NY:1},{US:1}",,,,,,,"['New York City']","[]","Allan Mccollum"
"Allen Ruppersberg","Cleveland",1944,,,"male","United States of America","photographer,artist,illustrator,painter,sculptor,graphic artist,installation artist,conceptual artist","Allen Ruppersberg","Allen Ruppersberg","American","Conceptual Art","Conceptual Art","{Conceptual Art:15}","{Conceptual Art:15}","Conceptual Art:1969-2006","{Conceptual art:2},{Contemporary art:2},{Conceptual Art:15}",1969,2006,15,,,,,,,,,"['New York City', 'Los Angeles']","['Los Angeles:1967-1967']","Allen Ruppersberg"
"Anselm Kiefer","Donaueschingen",1945,,,"male","Austria","photographer,artist,illustrator,painter,sculptor,graphic artist,visual artist","Anselm Kiefer","Anselm Kiefer",,"Neo-Expressionism","Conceptual Art, Environmental (Land) Art, Expressionism, Neo-Expressionism, New European Painting, Surrealism","{Conceptual Art:7},{Environmental (Land) Art:1},{Expressionism:5},{Neo-Expressionism:5},{New European Painting:19},{Surrealism:2}",,,,1995,2009,39,,,,,,,,,"['Paris', 'Barjac', 'Karlsruhe', 'Düsseldorf', 'Freiburg im Breisgau']","[]","Anselm Kiefer"
"Banksy","Yate",1974,,,"male","United Kingdom","writer,painter,sculptor,film director,activist shareholder,street artist,muralist,political activist,graffiti artist,artivist","Banksy","Banksy",,"Street art","Conceptual Art, Graffiti Art, Street art","{Conceptual Art:6},{Graffiti Art:1},{Street art:23}",,,,2011,2011,30,"Los Angeles, London, UK, Palestine, California, USA","{Palestine:1},{Los Angeles:3},{California:3},{USA:3},{London:6},{UK:6}",,,,,,,"['London', 'West End', 'New York City', 'Washington, D.C.', 'Père Lachaise Cemetery', 'Naples', 'Venice']","[]","Banksy"
"Barbara Kruger","Newark",1945,,,"female","United States of America","photographer,artist,painter,visual artist,designer,installation artist,conceptual artist,collagist","Barbara Kruger","Barbara Kruger","American","Feminist Art","Conceptual Art, Feminist Art","{Conceptual Art:11},{Feminist Art:11}","{Conceptual Art:22}, {Feminist Art:11}","Conceptual Art:1980-2007,Feminist Art:1982-1992","{Feminist Art,Conceptual Art:22}",1980,2014,22,,,,,,,,,"['Los Angeles', 'New York City', 'Siena']","['Siena:2002-2002']","Barbara Kruger"
"Bas Jan Ader","Winschoten",1942,"Atlantic Ocean",1975,"male","Kingdom of the Netherlands","photographer,filmmaker,visual artist,performance artist,video artist,ocean rower,conceptual artist","Bas Jan Ader","Bas Jan Ader","Dutch","Conceptual Art","Conceptual Art","{Conceptual Art:10}","{Conceptual Art:10}","Conceptual Art:1970-1974","{Conceptual Art:10}",1970,1974,10,,,,,,,,,"[]","[]","Bas Jan Ader"
"Billy Apple","Auckland",1935,"Auckland",2021,"male","New Zealand","painter,sculptor,visual artist,conceptual artist","Billy Apple","Billy Apple","New Zealander","Pop Art","Conceptual Art, Pop Art","{Conceptual Art:12},{Pop Art:34}","{Pop Art:35}, {Conceptual Art:12}","Pop Art:1962-2011,Conceptual Art:1960-2003","{Pop Art,Conceptual Art:47}",1960,2011,46,,,,,,,,,"[]","[]","Billy Apple"
"Christian Boltanski","Paris",1944,"Paris",2021,"male","France","photographer,artist,illustrator,painter,sculptor,filmmaker,visual artist,new media artist,conceptual artist","Christian Boltanski","Christian Boltanski","French","Conceptual Art","Conceptual Art, Expressionism","{Conceptual Art:10},{Expressionism:1}","{Conceptual Art:10}, {Expressionism:1}","Conceptual Art:1971-2008,Expressionism:1967-1967","{Conceptual art:1},{Contemporary art:1},{Conceptual Art:11}",1967,2008,11,,,,,,,,,"['Malakoff']","[]","Christian Boltanski"
"Cildo Meireles","Rio de Janeiro",1948,,,"male","Brazil","artist,painter,sculptor,jewelry designer,visual artist,performance artist,printmaker,installation artist,conceptual artist","Cildo Meireles","Cildo Meireles","Brazilian","Conceptual Art","Conceptual Art","{Conceptual Art:14}","{Conceptual Art:14}","Conceptual Art:1967-2003","{Conceptual Art:14}",1967,2010,14,,,,,,,,,"['Rio de Janeiro', 'New York City']","[]","Cildo Meireles"
"Claude Rutault","Les Trois-Moutiers",1941,"Boulogne-Billancourt",2022,"male","France","painter","Claude Rutault","Claude Rutault","French","Conceptual Art","Conceptual Art, Minimalism","{Conceptual Art:14},{Minimalism:7}","{Conceptual Art:21}, {Minimalism:7}","Conceptual Art:1973-2010,Minimalism:1973-2010","{Conceptual Art,Minimalism:21}",1973,2010,21,,,,,,,,,"[]","[]","Claude Rutault"
"Damien Hirst","Bristol",1965,,,"male","United Kingdom","engraver,artist,illustrator,painter,sculptor,film director,visual artist,restaurateur,installation artist,conceptual artist,assemblage artist","Damien Hirst","Damien Hirst",,"Conceptual Art","Conceptual Art, Expressionism, Neo-Pop Art, Unknown","{Conceptual Art:14},{Expressionism:2},{Neo-Pop Art:11},{Unknown:2}",,,,,,29,,,,,,,,,"['Berlin', 'Leeds', 'London']","['Leeds:1983-1984', 'London:1984-2009']","Damien Hirst"
"Danh Vō","Vũng Tàu",1975,,,"male","Mexico","sculptor,installation artist","Danh Vo","Danh Vō",,"Conceptual Art","Conceptual Art","{Conceptual Art:16}",,,,2011,2011,16,,,,,,,,,"[]","[]","Danh Vo"
"Dennis Oppenheim","Electric City",1938,"New York City",2011,"male","United States of America","photographer,sculptor,visual artist,performance artist,drawer,installation artist,video artist,conceptual artist,land artist","Dennis Oppenheim","Dennis Oppenheim","American","Conceptual Art","Conceptual Art, Environmental (Land) Art, Neo-Dada, Post-Minimalism","{Conceptual Art:2},{Environmental (Land) Art:5},{Neo-Dada:1},{Post-Minimalism:3}","{Neo-Dada:1}, {Post-Minimalism:3}, {Environmental (Land) Art:5}, {Conceptual Art:2}","Neo-Dada:1997-1997,Post-Minimalism:1971-1976,Environmental (Land) Art:1968-1973,Conceptual Art:1970-1970","{Conceptual Art,Post-Minimalism,Environmental Art:11}",1968,1997,11,"United States of America","{United States of America:1}",,"Vito Acconci,",,,,"Vito Acconci,","[]","[]","Dennis Oppenheim"
"Do Ho Suh","Seoul",1962,,,"male","South Korea","sculptor,printmaker,installation artist","Do Ho Suh","Do Ho Suh",,"Conceptual Art","Conceptual Art","{Conceptual Art:10}",,,"{Contemporary art:1}",2007,2007,10,"Seoul, Korea","{Seoul:14},{Korea:14}",,,,,,,"['University of California, San Diego', 'London', 'New York City', 'Seoul']","[]","Do Ho Suh"
"Eduardo Paolozzi","Leith",1924,"London",2005,"male","United Kingdom","actor,artist,painter,sculptor,filmmaker,university teacher,graphic artist,muralist,visual artist,designer,ceramicist,textile artist,printmaker,architectural draftsperson,drawer,collagist","Eduardo Paolozzi","Eduardo Paolozzi","British","Pop Art","Conceptual Art, Cubo-Expressionism, Pop Art, Unknown","{Conceptual Art:1},{Cubo-Expressionism:1},{Pop Art:13},{Unknown:2}","{Conceptual Art:1}, {Pop Art:12}, {Cubo-Expressionism:1}","Conceptual Art:1987-1987,Pop Art:1947-1958,Cubo-Expressionism:1946-1946","{Contemporary art:1},{Pop Art:17}",1944,1995,17,"London, Tate Britain, UK, United Kingdom","{London:6},{United Kingdom:1},{UK:5},{Tate Britain:1}",,,,,,,"['Berkeley', 'London', 'Paris', 'Edinburgh', 'Hamburg', 'Cologne']","[]","Eduardo Paolozzi"
"Giovanni Anselmo","Borgofranco d'Ivrea",1934,"Turin",2023,"male","Italy","photographer,illustrator,sculptor,visual artist,drawer,conceptual artist","Giovanni Anselmo","Giovanni Anselmo","Italian","Arte Povera","Conceptual Art, Minimalism","{Conceptual Art:8},{Minimalism:3}","{Conceptual Art:8}, {Minimalism:3}","Conceptual Art:1968-2000,Minimalism:1965-1970","{Arte Povera:11}",1965,2000,11,"Paris, France","{Paris:1},{France:1}",,,,,,,"[]","[]","Giovanni Anselmo"
"Giulio Paolini","Genoa",1940,,,"male","Italy","photographer,painter,sculptor,graphic artist,visual artist,drawer,conceptual artist","Giulio Paolini","Giulio Paolini","Italian","Arte Povera","Conceptual Art, Minimalism, Post-Minimalism","{Conceptual Art:9},{Minimalism:3},{Post-Minimalism:3}","{Conceptual Art:12}, {Post-Minimalism:3}, {Minimalism:3}","Conceptual Art:1967-2011,Post-Minimalism:1962-1982,Minimalism:1960-1971","{Conceptual art:1},{Contemporary art:1},{Arte Povera,Conceptual Art:15}",1960,2011,15,,,,,,,,,"['Paris', 'Turin']","['Turin:1959-2012']","Giulio Paolini"
"Hanne Darboven","Munich",1941,"Hamburg",2009,"female","Germany","photographer,composer,artist,painter,visual artist,drawer,conceptual artist","Hanne Darboven","Hanne Darboven","German","Conceptual Art","Conceptual Art","{Conceptual Art:15}","{Conceptual Art:15}","Conceptual Art:1968-2007","{Conceptual Art,Minimalism:15}",1968,2007,15,"London, UK","{London:1},{UK:1}",,,,,,,"[]","[]","Hanne Darboven"
"Hans Haacke","Cologne",1936,,,"male","Germany","photographer,pedagogue,university teacher,visual artist,printmaker,conceptual artist","Hans Haacke","Hans Haacke","American,German","Conceptual Art","Conceptual Art","{Conceptual Art:16}","{Conceptual Art:16}","Conceptual Art:1965-2009","{Conceptual Art:16}",1965,2009,16,"NY, New York City, US","{New York City:1},{NY:1},{US:1}",,,,,,,"['New York City']","[]","Hans Haacke"
"Helena Almeida","Lisbon",1934,"Sintra",2018,"female","Portugal","photographer,artist,painter","Helena Almeida","Helena Almeida","Portuguese","Conceptual Art","Conceptual Art","{Conceptual Art:15}","{Conceptual Art:15}","Conceptual Art:1969-2002","{Conceptual Art:15}",1969,2002,15,,,,,,,,,"[]","[]","Helena Almeida"
"Helio Oiticica","Rio de Janeiro",1937,"Rio de Janeiro",1980,"male","Brazil","painter,sculptor,filmmaker,performance artist,drawer","Hélio Oiticica","Helio Oiticica","Brazilian","Neo-Concretism","Conceptual Art, Minimalism, Neo-Concretism","{Conceptual Art:2},{Minimalism:1},{Neo-Concretism:13}","{Neo-Concretism:13}, {Minimalism:4}, {Conceptual Art:2}","Neo-Concretism:1957-1977,Minimalism:1959-1977,Conceptual Art:1966-1968","{Neo-Concretism,Conceptual Art:16}",1957,1986,16,"London, UK","{London:2},{UK:2}",,,,,,,"[]","[]","Helio Oiticica"
"Herman de Vries","Alkmaar",1931,,,"male","Kingdom of the Netherlands","photographer,painter,sculptor,visual artist,performance artist,conceptual artist,visual poet","herman de vries","Herman de Vries","Dutch","Conceptual Art","Conceptual Art, Environmental (Land) Art, Minimalism","{Conceptual Art:5},{Environmental (Land) Art:16},{Minimalism:6}","{Conceptual Art:11}, {Environmental (Land) Art:17}, {Minimalism:6}","Conceptual Art:1975-2013,Environmental (Land) Art:1975-2009,Minimalism:1963-1980","{Conceptual Art,Environmental Art:27}",1963,2013,27,,,"Zero",,,,,,"[]","[]","Herman De Vries"
"Hiroshi Sugimoto","Tokyo",1948,,,"male","Japan","photographer,researcher,painter","Hiroshi Sugimoto","Hiroshi Sugimoto","Japanese","Minimalism","Conceptual Art, Minimalism","{Conceptual Art:4},{Minimalism:11}","{Minimalism:11}, {Conceptual Art:4}","Minimalism:1990-1997,Conceptual Art:1978-1993","{Minimalism:15}",1978,1997,15,,,,"Marcel Duchamp,Dada,Surrealism,",,,,,"['Tokyo', 'Los Angeles', 'New York City']","[]","Hiroshi Sugimoto"
"Hito Steyerl","Munich",1966,,,"female","Germany","writer,filmmaker,university teacher,film director,visual artist,art theorist,video artist","Hito Steyerl","Hito Steyerl",,"Conceptual Art","Conceptual Art, Minimalism","{Conceptual Art:17},{Minimalism:2}",,,,,,19,,,,,,,,,"[]","[]","Hito Steyerl"
"Ilya Kabakov","Dnipro",1933,"Long Island",2023,"male","United States of America","photographer,artist,painter,sculptor,visual artist,printmaker,drawer,video artist,conceptual artist","Ilya Kabakov","Ilya Kabakov","Russian,American,Jewish","Conceptual Art","Conceptual Art","{Conceptual Art:20}","{Conceptual Art:19}","Conceptual Art:1981-2014",,1981,2014,20,,,"Moscow Conceptualists","Robert Falk,",,,,"Erik Bulatov,","['Moscow', 'Berlin', 'Graz', 'United States of America']","['Moscow:1945-1992', 'Berlin:1989-1989', 'Graz:1987-1988', 'United States of America:1992-1992']","Ilya Kabakov"
"Ion Grigorescu","Bucharest",1945,,,"male","Romania","photographer,painter,performance artist,installation artist,video artist,conceptual artist","Ion Grigorescu","Ion Grigorescu","Romanian","Performance Art","Conceptual Art","{Conceptual Art:2}","{Conceptual Art:2}","Conceptual Art:1977-1978","{Performance Art,Neo-Orthodoxism:2}",1977,1978,2,,,"Prolog Group",,,,,,"[]","[]","Ion Grigorescu"
